ID,DATE,SYMBOL,STATUS,QUANTITY,PRICE,ORDER_TYPE,PLATFORM,MARGIN,VALUE
1360915693,20-06-2024,NAT,Realizované,330,3.96,Buy Limit,xS5,-,30505.94
1360903513,20-06-2024,BMS,Realizované,35,40.80,Buy Limit,xS5,-,33325.24
1292922906,17-04-2024,Pfizer,Realizované,40,25.40,Buy Limit,xS5,-,24232.62
1292899397,17-04-2024,VICI Properties,Realizované,60,27.30,Buy Limit,xS5,-,39048.28
1203184481,23-01-2024,Altria,Realizované,12,40.00,Buy Limit,xS5,-,11069.28
1203162839,23-01-2024,BMS,Realizované,15,50.00,Buy Limit,xS5,-,17307.75
1187398305,08-01-2024,NAT,Realizované,170,4.47,Buy,xS5,-,17086.35
1183780677,04-01-2024,Amazon,Realizované,5,145.25,Buy,xS5,-,16464.09
1144696827,17-11-2023,Medical Properties,Realizované,170,4.61,Buy,xS5,-,17716.32
1143270649,16-11-2023,Pfizer,Realizované,50,29.74,Buy,xS5,-,33588.36
1114119285,19-10-2023,Realty,Realizované,10,49.93,Buy,xS5,-,11776.99
1113469781,18-10-2023,Pepsi,Realizované,10,163.09,Buy,xS5,-,38997.91
1099841206,05-10-2023,Realty,Realizované,18,49.68,Buy,xS5,-,20863.51
1083579498,20-09-2023,Endesa,Realizované,100,20.090,Buy,xS5,-,49278.76
1073017151,08-09-2023,Ceska zbrojovka,Realizované,100,560.00,Buy,xS5,-,56000.00
1034697267,31-07-2023,Proximus,Realizované,250,7.040,Buy Limit,xS5,-,42405.44
